model,total_images,total_gt,total_pred,inference_error_images,eval_error_images,bbox_precision,bbox_recall,bbox_f1,avg_iou,text_accuracy_on_matched,end_to_end_precision,end_to_end_recall,end_to_end_f1,漏检,无中生有,字符错检,多余字符,内容缺失,total_errors
sft,500,542,541,0,100,0.9353049907578558,0.933579335793358,0.9344413665743306,0.8713158502032997,0.8814229249011858,0.8243992606284658,0.8228782287822878,0.8236380424746075,36,35,33,10,8,131
sft_aug,500,550,528,0,94,0.9526515151515151,0.9145454545454546,0.9332096474953618,0.8740171343622857,0.9065606361829026,0.8636363636363636,0.8290909090909091,0.8460111317254174,47,25,27,7,5,119
dpo,500,550,521,0,94,0.9616122840690979,0.9109090909090909,0.9355742296918768,0.8729159298479017,0.9041916167664671,0.8694817658349329,0.8236363636363636,0.84593837535014,49,20,27,7,5,117
doubao,500,547,648,0,218,0.7222222222222222,0.8555758683729433,0.7832635983263597,0.8130143999302367,0.7991452991452992,0.5771604938271605,0.6837294332723949,0.6259414225941422,79,180,23,8,49,353
gemini,500,550,710,0,323,0.3,0.38727272727272727,0.3380952380952381,0.7862352434603004,0.7887323943661971,0.23661971830985915,0.3054545454545455,0.26666666666666666,337,497,8,6,23,879
qwen,500,550,676,0,218,0.7144970414201184,0.8781818181818182,0.7879282218597063,0.8091818011328514,0.7971014492753623,0.5695266272189349,0.7,0.6280587275693311,67,193,26,7,53,358
